MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3251,Aloha Airlines,ALOHA AIR,ALOHA AIR,V
3252,Antilean Airlines (ALM),AL,ALM AIRLINE,"V, M"
3253,America West,AMERWEST,AMERWEST,M
3254,U.S. Air Shuttle,USAIRSHUTL,USAIRSHUTL,V
3256,Alaska Airlines Inc.,ALASKA A,ALASKA AIR,"V, M"
3259,American Trans Air,ATA AIR,ATA AIR,V
3260,Spirit Airlines,SPIRIT,SPIRIT AIR,"V, M"
3261,Air China,AIR CHINA,AIR CHINA,"V, M"
3262,Reno Air,RENO AIR,RENO AIR,V
3263,Aero Servicio Carabobo,ASERCA,ASC AIRLINE,"V, M"
3266,Air Seychelles,AIR SEYC,AIR SEYCH,"V, M"
3267,Air Panama International,AIR PANA,AIR PANAMA,"V, M"
3273,Rica Hotels,,,TSYS
3274,Inter Nor Hotels,,,TSYS
3280,Air Jamaica,AIR JAMA,AIR JAMAICA,"V, M"
3281,Air Djibouti,,,TSYS
3282,Air Djibouti,AIR DJIB,AIR DJIBOUTI,"V, M"
3284,Aero Virgin Islands,AERVIRGINIS,AERVIRGINIS,V
3285,Aero Peru,AEROPERU,AEROPERU,"V, M"
3286,Aero Nicaraguensis,AERO NIC,AERONICARAG,"V, M"
3287,Aero Coach Aviation,AEROCOAC,AEROCOACH A,"V, M"
3292,Cyprus Airways,CYPRUSA,CYPRUS AIR,"V, M"
3293,Ecuatoriana,ECUATORI,ECUATORIANA,"V, M"
3294,Ethiopian Airlines,ETHIOPIA,ETHIOPIAN AIR,"V, M"
3295,Kenya Airways,KENYAAIR,KENYA AIR,"V, M"
3296,Air Berlin,AIRBERLIN,AIR BERLIN,"V, M"
3297,Tarom Romanian Air Transport,TAROM AIR,TAROM AIR,"V, M"
3298,Air Mauritius,AIRMAURI,AIRMAURITIUS,"V, M"
3299,Wideroes Flyveselskap,WIDEROES,WIDEROES,"V, M"
3351,Affiliated Auto Rental,,,"V, M"
3352,American International,,,"V, M"
3353,Brooks Rent-A-Car,,,"V, M"
